thr,n_trades,coverage,precision,sharpe,cum_ret_%
0.5,152,1.0,0.0789,-0.482,-1.6
0.52,138,0.908,0.0507,0.076,0.22
0.54,128,0.842,0.0312,0.094,0.25
0.56,102,0.671,0.0392,1.093,2.36
0.58,88,0.579,0.0455,0.839,1.62
0.6,70,0.461,0.0,0.963,1.5
0.63,39,0.257,0.0,-0.663,-0.5
0.65,19,0.125,0.0,-5.807,-2.04
