thr,n_trades,coverage,precision,sharpe,cum_ret_%
0.5,55,0.367,0.5636,2.212,4.24
0.52,39,0.26,0.5897,2.876,4.27
0.54,26,0.173,0.5769,1.84,1.85
0.56,9,0.06,0.4444,-1.098,-0.37
0.58,3,0.02,0.0,-67.325,-1.38
0.6,1,0.007,0.0,0.0,-0.47
0.63,1,0.007,0.0,0.0,-0.47
0.65,0,0.0,,,
