threshold,n_trades,coverage,precision,sharpe,cum_ret_%
0.5,2945,1.0,0.5076,-1.242,-12.45
0.52,2514,0.854,0.5115,-1.242,-10.96
0.54,2144,0.728,0.5163,-1.357,-10.54
0.56,1766,0.6,0.5272,-1.085,-7.16
0.58,1412,0.479,0.5241,-0.899,-4.89
0.6,1119,0.38,0.5353,-0.772,-3.42
0.63,744,0.253,0.5417,-1.268,-3.94
0.65,557,0.189,0.5296,-3.421,-7.8
