thr,n_trades,coverage,precision,sharpe,cum_ret_%
0.5,50,0.333,0.36,-5.466,-11.61
0.52,40,0.267,0.325,-6.94,-11.48
0.54,22,0.147,0.3636,-4.027,-4.26
0.56,14,0.093,0.4286,-1.425,-1.01
0.58,8,0.053,0.25,-5.789,-1.94
0.6,3,0.02,0.0,-143.039,-1.72
0.63,1,0.007,0.0,0.0,-0.5
0.65,1,0.007,0.0,0.0,-0.5
