thr,n_trades,coverage,precision,sharpe,cum_ret_%
0.5,148,1.0,0.527,1.804,3.65
0.52,132,0.892,0.5455,2.622,4.85
0.54,110,0.743,0.5182,1.424,2.16
0.56,83,0.561,0.5301,1.767,2.03
0.58,58,0.392,0.5345,2.321,1.94
0.6,47,0.318,0.5745,3.004,2.0
0.63,20,0.135,0.6,4.336,1.32
0.65,13,0.088,0.5385,0.713,0.13
