thr,n_trades,coverage,precision,sharpe,cum_ret_%
0.5,36,0.228,0.5278,-1.22,-3.95
0.52,25,0.158,0.48,-2.232,-5.28
0.54,13,0.082,0.5385,0.823,0.92
0.56,8,0.051,0.5,-1.775,-1.19
0.58,3,0.019,0.3333,-7.037,-1.42
0.6,0,0.0,,,
0.63,0,0.0,,,
0.65,0,0.0,,,
