thr,n_trades,coverage,precision,sharpe,cum_ret_%
0.5,50,0.323,0.56,4.406,12.88
0.52,37,0.239,0.5946,4.981,11.82
0.54,27,0.174,0.5926,4.977,9.06
0.56,14,0.09,0.5714,7.807,8.93
0.58,9,0.058,0.6667,7.739,3.53
0.6,4,0.026,0.75,8.294,1.77
0.63,1,0.006,0.0,0.0,-0.62
0.65,1,0.006,0.0,0.0,-0.62
