thr,n_trades,coverage,precision,sharpe,cum_ret_%
0.5,151,1.0,0.2119,1.164,1.87
0.52,128,0.848,0.1562,0.261,0.34
0.54,108,0.715,0.1019,0.196,0.22
0.56,89,0.589,0.0787,-0.754,-0.63
0.58,70,0.464,0.0286,-0.416,-0.27
0.6,59,0.391,0.0,-1.298,-0.66
0.63,46,0.305,0.0,-0.086,-0.04
0.65,38,0.252,0.0,-1.099,-0.41
