thr,n_trades,coverage,precision,sharpe,cum_ret_%
0.5,156,1.0,0.3397,-0.331,-1.76
0.52,123,0.788,0.2846,-0.061,-0.27
0.54,94,0.603,0.2766,1.455,3.93
0.56,53,0.34,0.2075,1.426,2.4
0.58,32,0.205,0.2188,1.955,2.15
0.6,18,0.115,0.1667,7.686,4.54
0.63,2,0.013,0.0,-15.711,-1.5
0.65,1,0.006,0.0,0.0,-1.29
