thr,n_trades,coverage,precision,sharpe,cum_ret_%
0.5,149,1.0,0.4765,1.048,2.08
0.52,124,0.832,0.4758,1.075,1.67
0.54,91,0.611,0.4725,1.599,1.89
0.56,59,0.396,0.4407,0.534,0.42
0.58,45,0.302,0.4667,0.457,0.28
0.6,31,0.208,0.4194,-2.08,-0.94
0.63,13,0.087,0.3846,-3.058,-0.65
0.65,8,0.054,0.375,-8.64,-0.84
