thr,n_trades,coverage,precision,sharpe,mean_ret_%
0.35,2222,0.885,0.5113,6.848,4.1445
0.38,2142,0.853,0.5145,6.885,4.164
0.4,2079,0.828,0.5132,6.929,4.2057
0.42,2031,0.809,0.5145,6.984,4.2595
0.45,1940,0.772,0.517,7.187,4.3957
0.48,1835,0.73,0.521,7.442,4.5286
0.5,1768,0.704,0.5226,7.654,4.6807
0.54,1636,0.651,0.5251,8.165,4.9702
