thr,n_trades,coverage,precision,sharpe,cum_ret_%
0.5,48,0.304,0.5208,0.894,1.98
0.52,30,0.19,0.5,-0.327,-0.46
0.54,8,0.051,0.375,-1.222,-0.54
0.56,2,0.013,0.5,-15.616,-0.92
0.58,0,0.0,,,
0.6,0,0.0,,,
0.63,0,0.0,,,
0.65,0,0.0,,,
