thr,n_trades,coverage,precision,sharpe,cum_ret_%
0.5,103,1.0,0.0291,-0.918,-7.47
0.52,100,0.971,0.02,-0.829,-6.65
0.54,92,0.893,0.0,-0.725,-5.54
0.56,83,0.806,0.0,-0.961,-6.84
0.58,71,0.689,0.0,-0.921,-5.9
0.6,64,0.621,0.0,-0.358,-2.13
0.63,49,0.476,0.0,0.644,2.52
0.65,42,0.408,0.0,-1.616,-4.74
