thr,n_trades,coverage,precision,sharpe,cum_ret_%
0.5,48,0.32,0.4792,0.557,0.91
0.52,33,0.22,0.5152,2.904,3.58
0.54,18,0.12,0.5556,2.751,1.96
0.56,7,0.047,0.4286,4.146,1.62
0.58,2,0.013,0.5,9.237,1.37
0.6,2,0.013,0.5,9.237,1.37
0.63,0,0.0,,,
0.65,0,0.0,,,
