thr,n_trades,coverage,precision,sharpe,cum_ret_%
0.5,21,0.233,0.3333,-0.541,-1.43
0.52,10,0.111,0.5,7.036,8.26
0.54,3,0.033,1.0,33.543,5.81
0.56,2,0.022,1.0,80.213,2.8
0.58,0,0.0,,,
0.6,0,0.0,,,
0.63,0,0.0,,,
0.65,0,0.0,,,
