thr,n_trades,coverage,precision,sharpe,cum_ret_%
0.5,18,0.2,0.4444,-3.765,-13.95
0.52,6,0.067,0.3333,-3.988,-5.6
0.54,4,0.044,0.5,1.024,1.06
0.56,1,0.011,1.0,0.0,2.93
0.58,1,0.011,1.0,0.0,2.93
0.6,0,0.0,,,
0.63,0,0.0,,,
0.65,0,0.0,,,
