thr,n_trades,coverage,precision,sharpe,mean_ret_%
0.5,65118,1.0,0.5169,0.034,0.0007
0.52,49223,0.756,0.5215,0.083,0.0017
0.54,33924,0.521,0.5226,-0.115,-0.0023
0.56,21166,0.325,0.5257,-0.219,-0.0044
0.58,11843,0.182,0.5248,-0.339,-0.007
0.6,6038,0.093,0.5394,1.458,0.0312
0.63,1754,0.027,0.5604,4.49,0.1064
0.65,676,0.01,0.5473,-0.435,-0.0121
