thr,n_trades,coverage,precision,sharpe,cum_ret_%
0.5,148,1.0,0.5203,0.088,0.34
0.52,133,0.899,0.5188,-0.355,-1.19
0.54,109,0.736,0.5321,0.193,0.55
0.56,81,0.547,0.5556,0.05,0.11
0.58,55,0.372,0.5273,-1.03,-1.56
0.6,27,0.182,0.6667,1.872,1.18
0.63,9,0.061,0.8889,13.152,1.78
0.65,5,0.034,0.8,21.523,1.15
