thr,n_trades,coverage,precision,sharpe,cum_ret_%
0.5,83,1.0,0.3976,-3.672,-26.01
0.52,67,0.807,0.403,-3.883,-23.19
0.54,53,0.639,0.4151,-3.414,-16.13
0.56,34,0.41,0.3235,-6.771,-19.85
0.58,24,0.289,0.25,-9.786,-19.68
0.6,10,0.12,0.2,-10.788,-9.92
0.63,2,0.024,0.5,-2.9,-1.12
0.65,2,0.024,0.5,-2.9,-1.12
