thr,n_trades,coverage,precision,sharpe,cum_ret_%
0.5,159,1.0,0.1635,-1.617,-9.35
0.52,145,0.912,0.1103,-1.882,-10.12
0.54,133,0.836,0.0902,-0.829,-3.79
0.56,120,0.755,0.0333,-1.029,-4.2
0.58,108,0.679,0.0278,-0.938,-3.3
0.6,91,0.572,0.022,-1.08,-2.98
0.63,70,0.44,0.0143,-2.569,-5.05
0.65,55,0.346,0.0182,-1.58,-2.69
